,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,price
10,2015-04-03,3,3560,9796,1.0,0,0,3,8,1700,1965,0,98007,662500
15,2015-01-24,4,2950,5000,2.0,0,3,3,9,970,1979,0,98126,650000
21,2014-08-26,3,3050,44867,1.0,0,4,3,9,720,1968,0,98040,2000000
26,2014-06-26,3,2450,2691,2.0,0,0,3,8,700,1915,0,98119,937000
27,2014-12-01,3,1400,1581,1.5,0,0,5,8,0,1909,0,98112,667000
29,2015-03-02,4,2570,7173,2.0,0,0,3,8,0,2005,0,98052,719000
32,2014-06-24,4,2330,5000,1.5,0,0,4,7,820,1929,0,98117,687500
35,2014-06-13,3,2300,3060,1.5,0,0,3,8,790,1930,2002,98115,696000
41,2014-08-11,4,4220,24186,1.0,0,0,3,8,1620,1984,0,98166,775000
42,2014-07-07,5,3595,5639,2.0,0,0,3,9,0,2014,0,98053,861990
43,2014-10-28,3,1570,2280,2.0,0,0,3,7,0,1922,0,98119,685000
47,2014-07-16,4,2290,13416,2.0,0,0,4,9,0,1981,0,98007,785000
49,2015-03-11,3,2753,65005,1.0,1,2,5,9,588,1953,0,98070,1350000
54,2015-03-03,5,2730,6000,1.5,0,0,3,8,600,1927,0,98105,920000
55,2014-05-12,4,2830,5000,2.0,0,0,3,9,0,1995,0,98105,885000
58,2014-08-27,5,3250,14342,2.0,0,4,4,8,0,1968,0,98008,951000
60,2014-12-10,3,2150,21235,1.0,0,3,4,8,560,1959,0,98166,650000
66,2014-09-09,4,2720,11049,2.0,0,0,3,10,0,1989,0,98004,975000
69,2014-06-12,5,3200,20158,1.0,0,0,3,8,1600,1965,0,98004,1330000
70,2014-09-12,5,4770,50094,1.0,0,0,4,11,1700,1973,0,98005,1040000
75,2014-11-05,4,3430,35102,2.0,0,0,4,10,1040,1986,0,98075,832500
79,2015-03-23,4,3450,39683,2.0,0,0,3,10,0,2002,0,98010,720000
85,2014-11-14,3,2140,3600,2.0,0,0,3,9,240,1925,0,98119,940000
91,2015-03-11,5,3520,6353,2.0,0,0,4,10,0,2001,0,98199,1100000
94,2014-12-23,3,1580,5000,1.0,0,0,3,8,290,1939,0,98117,700000
95,2014-09-08,4,3300,10250,1.0,0,0,3,7,910,1946,1991,98040,905000
100,2014-06-11,3,2070,13241,1.5,0,0,5,9,800,1910,0,98102,850830
102,2014-12-12,3,2190,107593,2.0,0,0,4,8,0,1983,0,98077,699950
103,2014-10-07,3,2920,8113,2.0,0,0,3,8,0,1950,2010,98004,1090000
108,2015-03-05,4,3140,28037,2.0,0,0,4,10,0,1991,0,98077,680000
115,2014-11-21,3,4380,6350,2.0,0,0,3,8,1600,1900,1999,98117,740500
120,2015-01-02,3,2400,6474,1.0,0,2,3,8,840,1964,0,98177,660000
124,2014-06-18,3,2910,10204,2.0,0,0,3,9,0,1990,0,98052,770000
125,2015-03-02,4,2750,17789,1.5,0,0,3,8,770,1914,1992,98004,1450000
128,2014-06-13,5,2320,4960,2.0,0,0,5,7,600,1926,0,98103,822500
131,2015-04-28,4,2010,9603,1.0,0,0,3,8,570,1986,0,98027,660500
132,2014-06-12,3,3950,111078,1.5,0,0,3,9,1490,1989,0,98052,784000
134,2015-01-26,4,2140,2278,3.0,0,0,3,9,0,2005,0,98107,675000
140,2014-06-27,2,1110,3200,1.0,0,0,3,7,0,1925,0,98119,665000
145,2014-12-03,4,3670,315374,2.0,0,0,4,9,0,1994,0,98077,921500
146,2014-06-25,4,2550,4000,2.0,0,0,3,8,180,1905,0,98109,890000
156,2014-11-20,5,3960,25245,2.0,0,0,3,9,1460,1996,0,98056,650000
162,2015-03-04,3,3400,16603,2.0,0,0,3,10,0,2000,0,98075,900000
167,2015-03-24,4,2680,4499,2.0,0,0,3,9,0,1999,0,98006,807100
168,2014-06-05,3,2680,9750,1.0,0,0,4,8,1070,1979,0,98034,653000
173,2015-01-16,4,3880,35003,2.0,0,0,3,10,1310,1984,0,98033,917500
174,2014-09-29,4,2590,8190,2.0,0,0,4,8,0,1980,0,98006,673000
184,2014-09-05,4,3130,13412,2.0,0,0,3,9,990,1993,0,98052,835000
185,2014-11-21,5,4090,12850,1.0,0,2,4,10,2000,1986,0,98033,1100000
192,2014-09-12,3,2140,9897,1.0,0,0,4,8,0,1959,0,98040,799000
205,2014-08-04,4,2480,11010,1.0,0,0,4,9,850,1966,0,98040,840000
206,2014-09-19,3,2440,4587,2.0,0,0,3,8,0,2010,0,98052,677900
216,2015-02-21,5,3300,33474,1.0,0,3,3,9,1430,1957,1991,98040,1510000
218,2014-08-28,2,3900,14864,1.0,0,3,3,8,1950,1947,0,98144,1070000
220,2014-08-22,4,2760,6440,2.0,0,0,3,10,0,1999,0,98075,686000
230,2015-04-13,2,1450,15798,2.0,1,4,3,7,220,1915,1978,98166,655000
235,2014-06-10,5,3760,28040,2.0,0,0,3,10,0,1983,0,98033,1030000
238,2014-07-01,3,3830,221284,2.0,0,0,3,10,300,1993,0,98077,800000
246,2014-09-29,4,3650,8354,1.0,1,4,3,9,1820,2000,0,98074,2400000
259,2014-08-29,4,2460,4425,2.0,0,0,3,8,0,2006,0,98052,693000
260,2014-12-02,3,1660,4400,1.5,0,0,3,8,200,1911,0,98112,780000
269,2015-05-04,4,5050,20100,1.5,0,2,3,11,300,1982,2008,98004,2900000
277,2014-11-13,4,3820,26300,2.0,0,0,3,9,970,2014,0,98028,770000
282,2015-05-13,5,3830,8480,2.0,0,1,5,9,1200,1905,1994,98122,2050000
283,2014-06-30,4,3500,7048,2.0,0,0,3,9,0,2005,0,98053,780000
288,2014-07-02,5,2900,10300,1.0,0,0,3,8,1450,1985,0,98006,675000
295,2014-07-10,4,3360,22111,2.0,0,0,3,10,0,1994,0,98075,879000
300,2014-06-24,4,4550,18641,1.0,1,4,3,10,1950,2002,0,98074,3080000
305,2015-02-17,3,1920,3300,1.0,0,0,4,8,960,1913,0,98112,725000
309,2015-01-08,4,3320,10574,2.0,0,0,5,8,1100,1960,0,98056,665000
310,2015-02-09,4,2370,4000,1.5,0,2,5,8,390,1928,0,98144,834000
312,2014-05-02,5,3650,9050,2.0,0,4,5,10,280,1921,0,98119,2380000
313,2014-06-18,4,4290,12103,1.0,0,3,3,11,1600,1997,0,98006,1380000
314,2014-12-09,4,4290,12103,1.0,0,3,3,11,1600,1997,0,98006,1400000
320,2014-05-13,5,3150,7119,2.0,0,0,3,9,0,2013,0,98052,819900
327,2014-09-05,4,2050,4400,1.5,0,0,4,9,0,1922,0,98102,740000
329,2014-07-25,3,2370,10289,1.0,0,0,4,9,780,1977,0,98005,790000
330,2014-09-16,4,2800,6750,2.0,0,0,3,9,910,1951,2002,98105,880000
334,2014-07-03,4,2490,9525,2.0,0,0,5,9,0,1968,0,98040,940000
337,2014-07-22,4,1510,3500,1.5,0,0,5,7,0,1911,0,98103,791500
341,2014-11-06,4,3040,8414,2.0,0,0,3,9,620,2010,0,98059,684000
351,2014-09-22,4,2270,10460,2.0,0,0,3,9,0,1965,0,98040,855000
358,2014-05-05,3,1330,77972,1.0,0,0,3,7,0,1928,1954,98033,900000
359,2014-08-05,3,2440,5750,2.0,0,2,3,9,460,2000,0,98116,679900
364,2014-09-17,5,3040,9570,1.0,0,2,4,8,1400,1966,0,98006,795000
366,2015-03-26,4,2990,10400,2.0,0,0,3,9,0,2002,0,98166,673000
367,2014-10-01,4,3520,15420,2.0,0,0,3,10,0,1991,0,98074,810000
368,2015-04-23,4,2440,69415,1.0,0,0,4,8,530,1989,0,98075,785000
375,2014-05-20,4,3230,7331,2.0,0,0,3,10,0,2004,0,98075,730000
381,2014-08-05,3,4040,14338,2.0,0,0,3,10,1010,1986,0,98077,950000
