,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
0,2014-10-13,3,1180,5650,1.0,0,0,3,0,1955,0,98178,47.5112,-122.257,221900
1,2014-12-09,3,2570,7242,2.0,0,0,3,400,1951,1991,98125,47.721,-122.319,538000
2,2015-02-25,2,770,10000,1.0,0,0,3,0,1933,0,98028,47.7379,-122.233,180000
3,2014-12-09,4,1960,5000,1.0,0,0,5,910,1965,0,98136,47.5208,-122.393,604000
4,2015-02-18,3,1680,8080,1.0,0,0,3,0,1987,0,98074,47.6168,-122.045,510000
5,2014-05-12,4,5420,101930,1.0,0,0,3,1530,2001,0,98053,47.6561,-122.005,1230000
6,2014-06-27,3,1715,6819,2.0,0,0,3,0,1995,0,98003,47.3097,-122.327,257500
7,2015-01-15,3,1060,9711,1.0,0,0,3,0,1963,0,98198,47.4095,-122.315,291850
8,2015-04-15,3,1780,7470,1.0,0,0,3,730,1960,0,98146,47.5123,-122.337,229500
9,2015-03-12,3,1890,6560,2.0,0,0,3,0,2003,0,98038,47.3684,-122.031,323000
10,2015-04-03,3,3560,9796,1.0,0,0,3,1700,1965,0,98007,47.6007,-122.145,662500
11,2014-05-27,2,1160,6000,1.0,0,0,4,300,1942,0,98115,47.69,-122.292,468000
12,2014-05-28,3,1430,19901,1.5,0,0,4,0,1927,0,98028,47.7558,-122.229,310000
13,2014-10-07,3,1370,9680,1.0,0,0,4,0,1977,0,98074,47.6127,-122.045,400000
14,2015-03-12,5,1810,4850,1.5,0,0,3,0,1900,0,98107,47.67,-122.394,530000
15,2015-01-24,4,2950,5000,2.0,0,3,3,970,1979,0,98126,47.5714,-122.375,650000
16,2014-07-31,3,1890,14040,2.0,0,0,3,0,1994,0,98019,47.7277,-121.962,395000
17,2014-05-29,4,1600,4300,1.5,0,0,4,0,1916,0,98103,47.6648,-122.343,485000
18,2014-12-05,2,1200,9850,1.0,0,0,4,0,1921,0,98002,47.3089,-122.21,189000
19,2015-04-24,3,1250,9774,1.0,0,0,4,0,1969,0,98003,47.3343,-122.306,230000
20,2014-05-14,4,1620,4980,1.0,0,0,4,760,1947,0,98133,47.7025,-122.341,385000
21,2014-08-26,3,3050,44867,1.0,0,4,3,720,1968,0,98040,47.5316,-122.233,2000000
22,2014-07-03,5,2270,6300,2.0,0,0,3,0,1995,0,98092,47.3266,-122.169,285000
23,2014-05-16,2,1070,9643,1.0,0,0,3,0,1985,0,98030,47.3533,-122.166,252700
24,2014-11-20,3,2450,6500,2.0,0,0,4,0,1985,0,98030,47.3739,-122.172,329000
25,2014-11-03,3,1710,4697,1.5,0,0,5,0,1941,0,98002,47.3048,-122.218,233000
26,2014-06-26,3,2450,2691,2.0,0,0,3,700,1915,0,98119,47.6386,-122.36,937000
27,2014-12-01,3,1400,1581,1.5,0,0,5,0,1909,0,98112,47.6221,-122.314,667000
28,2014-06-24,3,1520,6380,1.0,0,0,3,730,1948,0,98115,47.695,-122.304,438000
29,2015-03-02,4,2570,7173,2.0,0,0,3,0,2005,0,98052,47.7073,-122.11,719000
30,2014-11-10,3,2320,3980,2.0,0,0,3,0,2003,0,98027,47.5391,-122.07,580500
31,2014-12-01,2,1190,1265,3.0,0,0,3,0,2005,0,98133,47.7274,-122.357,280000
32,2014-06-24,4,2330,5000,1.5,0,0,4,820,1929,0,98117,47.6823,-122.368,687500
33,2014-11-10,3,1090,3000,1.5,0,0,4,0,1929,0,98117,47.6889,-122.375,535000
34,2014-12-03,4,2060,6659,1.0,0,0,3,780,1981,0,98058,47.4276,-122.157,322500
35,2014-06-13,3,2300,3060,1.5,0,0,3,790,1930,2002,98115,47.6827,-122.31,696000
36,2014-05-28,4,1660,34848,1.0,0,0,1,730,1933,0,98052,47.6621,-122.132,550000
37,2014-12-30,4,2360,6000,2.0,0,0,4,0,1904,0,98107,47.6702,-122.362,640000
38,2015-02-13,4,1220,8075,1.0,0,0,2,330,1969,0,98001,47.3341,-122.282,240000
39,2014-06-20,4,2620,7553,2.0,0,0,3,0,1996,0,98056,47.5301,-122.18,605000
40,2014-07-15,4,2570,5520,2.0,0,0,3,0,2000,0,98074,47.6145,-122.027,625000
41,2014-08-11,4,4220,24186,1.0,0,0,3,1620,1984,0,98166,47.445,-122.347,775000
42,2014-07-07,5,3595,5639,2.0,0,0,3,0,2014,0,98053,47.6848,-122.016,861990
43,2014-10-28,3,1570,2280,2.0,0,0,3,0,1922,0,98119,47.6413,-122.364,685000
44,2014-07-29,3,1280,9656,1.0,0,0,4,360,1959,0,98058,47.4485,-122.175,309000
45,2014-07-18,3,3160,13603,2.0,0,0,3,0,2003,0,98019,47.7443,-121.977,488000
46,2015-03-25,3,990,8528,1.0,0,0,3,0,1966,0,98023,47.3066,-122.371,210490
47,2014-07-16,4,2290,13416,2.0,0,0,4,0,1981,0,98007,47.6194,-122.151,785000
48,2015-04-28,3,1250,5963,1.0,0,0,4,0,1953,0,98115,47.6796,-122.301,450000
49,2015-03-11,3,2753,65005,1.0,1,2,5,588,1953,0,98070,47.4041,-122.451,1350000
50,2014-09-16,3,1190,9199,1.0,0,0,3,0,1955,0,98148,47.4258,-122.322,228000
51,2015-02-17,5,3150,9134,1.0,0,0,4,1510,1966,0,98056,47.4934,-122.189,345000
52,2014-12-31,3,1410,4080,1.0,0,0,4,410,1950,0,98117,47.6808,-122.384,600000
53,2015-02-05,2,1980,8550,1.0,0,0,3,990,1981,0,98117,47.6989,-122.369,585000
54,2015-03-03,5,2730,6000,1.5,0,0,3,600,1927,0,98105,47.6571,-122.281,920000
55,2014-05-12,4,2830,5000,2.0,0,0,3,0,1995,0,98105,47.6597,-122.29,885000
56,2014-08-19,4,2250,4495,2.0,0,0,3,0,2008,0,98042,47.3663,-122.114,292500
57,2015-04-07,3,2420,4750,2.0,0,0,3,0,2003,0,98042,47.3663,-122.122,301000
58,2014-08-27,5,3250,14342,2.0,0,4,4,0,1968,0,98008,47.588,-122.116,951000
59,2015-02-23,4,1850,9976,2.0,0,0,3,0,1991,0,98059,47.5059,-122.149,430000
60,2014-12-10,3,2150,21235,1.0,0,3,4,560,1959,0,98166,47.4336,-122.339,650000
61,2014-08-28,3,1260,8400,1.0,0,0,3,0,1954,0,98148,47.4366,-122.335,289000
62,2014-10-21,3,2519,8690,2.0,0,0,5,0,1973,0,98166,47.4428,-122.344,505000
63,2014-12-07,3,1540,1044,3.0,0,0,3,0,2014,0,98115,47.6765,-122.32,549000
64,2014-06-03,3,1660,6000,1.0,0,0,3,550,1979,0,98122,47.6113,-122.297,425000
65,2014-11-20,3,2770,3809,1.5,0,0,5,1000,1925,0,98144,47.5747,-122.304,317625
66,2014-09-09,4,2720,11049,2.0,0,0,3,0,1989,0,98004,47.5815,-122.192,975000
67,2014-10-09,4,2240,4648,2.0,0,0,3,0,2005,0,98001,47.3378,-122.257,287000
68,2014-08-25,3,1000,12070,1.0,0,0,4,0,1968,0,98042,47.3621,-122.11,204000
69,2014-06-12,5,3200,20158,1.0,0,0,3,1600,1965,0,98004,47.6303,-122.215,1330000
70,2014-09-12,5,4770,50094,1.0,0,0,4,1700,1973,0,98005,47.6525,-122.16,1040000
71,2015-01-05,3,1260,5612,1.0,0,0,4,0,1972,0,98034,47.7362,-122.179,325000
72,2014-06-10,4,2750,7807,1.5,0,0,5,500,1916,0,98125,47.7168,-122.287,571000
73,2014-07-10,4,2380,5000,2.0,0,0,3,0,2005,0,98038,47.3608,-122.036,360000
74,2015-03-16,3,1790,50529,1.0,0,0,5,700,1965,0,98042,47.3511,-122.073,349000
75,2014-11-05,4,3430,35102,2.0,0,0,4,1040,1986,0,98075,47.5822,-121.987,832500
76,2014-10-13,4,1760,7300,1.0,0,0,3,880,1956,0,98008,47.6034,-122.125,380000
77,2015-04-20,3,1040,5060,1.0,0,0,3,0,1941,0,98116,47.5636,-122.394,480000
78,2014-06-09,3,1410,5060,1.0,0,0,4,500,1956,0,98133,47.7073,-122.34,410000
79,2015-03-23,4,3450,39683,2.0,0,0,3,0,2002,0,98010,47.342,-122.025,720000
80,2014-12-02,3,2350,5100,2.0,0,0,3,0,2003,0,98038,47.3512,-122.008,390000
81,2014-12-22,4,1900,5889,2.0,0,0,3,0,1992,0,98038,47.349,-122.031,360000
82,2014-10-28,2,2020,6720,1.0,0,0,3,1010,1948,0,98118,47.5474,-122.291,355000
83,2015-01-28,3,1680,8712,1.0,0,0,3,0,1964,0,98059,47.4811,-122.149,356000
84,2014-06-02,3,960,6634,1.0,0,0,3,0,1952,0,98125,47.7264,-122.31,315000
85,2014-11-14,3,2140,3600,2.0,0,0,3,240,1925,0,98119,47.6337,-122.365,940000
86,2014-11-03,5,2660,8400,1.5,0,0,5,0,1961,0,98092,47.2909,-122.189,305000
87,2014-06-18,3,2770,6278,2.0,0,0,3,790,2006,0,98056,47.5228,-122.199,461000
88,2014-05-19,2,1610,2040,2.0,0,0,4,0,1979,0,98056,47.518,-122.194,215000
89,2014-09-04,2,1030,1066,2.0,0,0,3,265,2006,0,98136,47.5394,-122.387,335000
90,2014-05-22,4,1980,7403,2.0,0,0,3,0,1988,0,98023,47.2897,-122.372,243500
91,2015-03-11,5,3520,6353,2.0,0,0,4,0,2001,0,98199,47.6506,-122.391,1100000
92,2015-02-26,3,1200,10500,1.0,0,0,3,0,1962,0,98023,47.322,-122.351,153000
93,2014-07-25,3,1580,5000,1.0,0,0,3,290,1939,0,98117,47.687,-122.386,430000
94,2014-12-23,3,1580,5000,1.0,0,0,3,290,1939,0,98117,47.687,-122.386,700000
95,2014-09-08,4,3300,10250,1.0,0,0,3,910,1946,1991,98040,47.5873,-122.249,905000
96,2015-03-30,3,1960,15681,1.0,0,0,3,0,1967,0,98032,47.3576,-122.277,247500
97,2014-09-12,4,1160,6400,1.0,0,0,4,0,1975,0,98023,47.3036,-122.378,199000
98,2014-07-11,3,1810,41800,1.0,0,0,5,600,1980,0,98038,47.4109,-121.958,314000
99,2014-05-16,3,2320,36847,2.0,0,2,3,0,1992,0,98045,47.4838,-121.714,437500
100,2014-06-11,3,2070,13241,1.5,0,0,5,800,1910,0,98102,47.6415,-122.315,850830
101,2014-10-27,3,1980,3478,1.5,0,0,4,540,1929,0,98117,47.6775,-122.372,555000
102,2014-12-12,3,2190,107593,2.0,0,0,4,0,1983,0,98077,47.7731,-122.08,699950
103,2014-10-07,3,2920,8113,2.0,0,0,3,0,1950,2010,98004,47.5814,-122.196,1090000
104,2014-09-24,3,1210,33919,1.0,0,0,3,0,1954,0,98058,47.4375,-122.184,290000
105,2015-04-02,3,2340,10005,1.0,0,0,4,880,1978,0,98058,47.4431,-122.133,375000
106,2014-05-23,3,1670,4005,1.5,0,0,4,500,1939,0,98117,47.6878,-122.38,460000
107,2014-07-23,2,1240,2493,1.0,0,0,4,0,1985,0,98198,47.3813,-122.322,188500
108,2015-03-05,4,3140,28037,2.0,0,0,4,0,1991,0,98077,47.7304,-122.082,680000
109,2014-08-27,5,2030,12342,2.0,0,0,4,0,1942,0,98052,47.6417,-122.109,470000
110,2014-07-25,4,2310,9624,2.0,0,0,3,0,1984,0,98027,47.5386,-122.053,597750
111,2015-03-04,3,1260,3328,1.0,0,0,5,560,1905,0,98103,47.6823,-122.349,570000
112,2014-09-16,3,1540,12600,1.0,0,0,4,380,1980,0,98038,47.3624,-122.031,272500
113,2014-11-24,3,2080,5969,1.0,0,2,3,1000,1971,0,98108,47.5474,-122.295,329950
114,2014-10-28,4,3230,16171,2.0,0,3,3,710,2001,0,98001,47.3183,-122.253,480000
115,2014-11-21,3,4380,6350,2.0,0,0,3,1600,1900,1999,98117,47.6981,-122.368,740500
116,2014-06-26,3,1590,1102,3.0,0,0,3,0,2010,0,98103,47.6824,-122.347,518500
117,2014-06-23,2,880,6780,1.0,0,0,4,0,1945,0,98178,47.5009,-122.248,205425
118,2015-01-08,4,1570,9600,1.0,0,0,3,0,1950,0,98168,47.4965,-122.303,171800
119,2015-05-11,4,1610,2982,1.5,0,0,4,0,1925,0,98144,47.587,-122.294,535000
120,2015-01-02,3,2400,6474,1.0,0,2,3,840,1964,0,98177,47.7728,-122.386,660000
121,2014-11-19,3,1450,9132,1.0,0,0,3,0,1987,0,98034,47.7288,-122.226,391500
122,2015-04-06,2,770,6000,1.0,0,0,3,0,1953,0,98117,47.6999,-122.364,395000
123,2014-11-04,4,2100,4400,1.5,0,0,5,380,1924,0,98118,47.5299,-122.266,445000
124,2014-06-18,3,2910,10204,2.0,0,0,3,0,1990,0,98052,47.6897,-122.098,770000
125,2015-03-02,4,2750,17789,1.5,0,0,3,770,1914,1992,98004,47.6141,-122.212,1450000
126,2014-07-17,3,2100,8201,1.0,0,2,3,480,1967,0,98178,47.5091,-122.244,445000
127,2014-07-17,4,2160,8811,1.0,0,0,3,800,1978,0,98023,47.3129,-122.39,260000
128,2014-06-13,5,2320,4960,2.0,0,0,5,600,1926,0,98103,47.6763,-122.352,822500
129,2015-04-06,4,2070,4310,2.0,0,0,3,0,2004,0,98065,47.5319,-121.85,430000
130,2015-01-05,3,1060,7875,1.0,0,0,4,0,1986,0,98092,47.2761,-122.152,212000
131,2015-04-28,4,2010,9603,1.0,0,0,3,570,1986,0,98027,47.5343,-122.054,660500
132,2014-06-12,3,3950,111078,1.5,0,0,3,1490,1989,0,98052,47.697,-122.072,784000
133,2014-05-12,3,2010,2287,2.0,0,0,3,620,2014,0,98029,47.5517,-121.998,453246
134,2015-01-26,4,2140,2278,3.0,0,0,3,0,2005,0,98107,47.6734,-122.38,675000
135,2014-08-13,3,1320,17390,1.0,0,0,4,0,1956,0,98003,47.3257,-122.296,199000
136,2014-08-05,4,2020,7840,1.0,0,0,3,1010,1968,0,98003,47.3309,-122.299,220000
137,2014-05-29,4,2590,10002,1.0,0,0,4,1250,1968,0,98028,47.7689,-122.266,452000
