,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,price
0,2014-10-13,3,1180,5650,1.0,0,0,3,7,0,1955,0,98178,221900
1,2014-12-09,3,2570,7242,2.0,0,0,3,7,400,1951,1991,98125,538000
2,2015-02-25,2,770,10000,1.0,0,0,3,6,0,1933,0,98028,180000
3,2014-12-09,4,1960,5000,1.0,0,0,5,7,910,1965,0,98136,604000
4,2015-02-18,3,1680,8080,1.0,0,0,3,8,0,1987,0,98074,510000
5,2014-05-12,4,5420,101930,1.0,0,0,3,11,1530,2001,0,98053,1230000
6,2014-06-27,3,1715,6819,2.0,0,0,3,7,0,1995,0,98003,257500
7,2015-01-15,3,1060,9711,1.0,0,0,3,7,0,1963,0,98198,291850
8,2015-04-15,3,1780,7470,1.0,0,0,3,7,730,1960,0,98146,229500
9,2015-03-12,3,1890,6560,2.0,0,0,3,7,0,2003,0,98038,323000
10,2015-04-03,3,3560,9796,1.0,0,0,3,8,1700,1965,0,98007,662500
11,2014-05-27,2,1160,6000,1.0,0,0,4,7,300,1942,0,98115,468000
12,2014-05-28,3,1430,19901,1.5,0,0,4,7,0,1927,0,98028,310000
13,2014-10-07,3,1370,9680,1.0,0,0,4,7,0,1977,0,98074,400000
14,2015-03-12,5,1810,4850,1.5,0,0,3,7,0,1900,0,98107,530000
15,2015-01-24,4,2950,5000,2.0,0,3,3,9,970,1979,0,98126,650000
16,2014-07-31,3,1890,14040,2.0,0,0,3,7,0,1994,0,98019,395000
17,2014-05-29,4,1600,4300,1.5,0,0,4,7,0,1916,0,98103,485000
18,2014-12-05,2,1200,9850,1.0,0,0,4,7,0,1921,0,98002,189000
19,2015-04-24,3,1250,9774,1.0,0,0,4,7,0,1969,0,98003,230000
20,2014-05-14,4,1620,4980,1.0,0,0,4,7,760,1947,0,98133,385000
21,2014-08-26,3,3050,44867,1.0,0,4,3,9,720,1968,0,98040,2000000
22,2014-07-03,5,2270,6300,2.0,0,0,3,8,0,1995,0,98092,285000
23,2014-05-16,2,1070,9643,1.0,0,0,3,7,0,1985,0,98030,252700
24,2014-11-20,3,2450,6500,2.0,0,0,4,8,0,1985,0,98030,329000
25,2014-11-03,3,1710,4697,1.5,0,0,5,6,0,1941,0,98002,233000
26,2014-06-26,3,2450,2691,2.0,0,0,3,8,700,1915,0,98119,937000
27,2014-12-01,3,1400,1581,1.5,0,0,5,8,0,1909,0,98112,667000
28,2014-06-24,3,1520,6380,1.0,0,0,3,7,730,1948,0,98115,438000
29,2015-03-02,4,2570,7173,2.0,0,0,3,8,0,2005,0,98052,719000
30,2014-11-10,3,2320,3980,2.0,0,0,3,8,0,2003,0,98027,580500
31,2014-12-01,2,1190,1265,3.0,0,0,3,7,0,2005,0,98133,280000
32,2014-06-24,4,2330,5000,1.5,0,0,4,7,820,1929,0,98117,687500
33,2014-11-10,3,1090,3000,1.5,0,0,4,8,0,1929,0,98117,535000
34,2014-12-03,4,2060,6659,1.0,0,0,3,7,780,1981,0,98058,322500
35,2014-06-13,3,2300,3060,1.5,0,0,3,8,790,1930,2002,98115,696000
36,2014-05-28,4,1660,34848,1.0,0,0,1,5,730,1933,0,98052,550000
37,2014-12-30,4,2360,6000,2.0,0,0,4,8,0,1904,0,98107,640000
38,2015-02-13,4,1220,8075,1.0,0,0,2,7,330,1969,0,98001,240000
39,2014-06-20,4,2620,7553,2.0,0,0,3,8,0,1996,0,98056,605000
40,2014-07-15,4,2570,5520,2.0,0,0,3,9,0,2000,0,98074,625000
41,2014-08-11,4,4220,24186,1.0,0,0,3,8,1620,1984,0,98166,775000
42,2014-07-07,5,3595,5639,2.0,0,0,3,9,0,2014,0,98053,861990
43,2014-10-28,3,1570,2280,2.0,0,0,3,7,0,1922,0,98119,685000
