,sqft_living,sqft_lot,sqft_basement,bedrooms,floors,zipcode_category,lat,long,waterfront,view,grade,age_renovated,price
0,1180,5650,0,3,1.0,1,47.5112,-122.257,0,0,7,68.0,221900
1,2570,7242,400,3,2.0,2,47.721,-122.319,0,0,7,32.0,538000
2,770,10000,0,2,1.0,2,47.7379,-122.233,0,0,6,90.0,180000
3,1960,5000,910,4,1.0,2,47.5208,-122.393,0,0,7,58.0,604000
4,1680,8080,0,3,1.0,3,47.6168,-122.045,0,0,8,36.0,510000
5,5420,101930,1530,4,1.0,3,47.6561,-122.005,0,0,11,22.0,1230000
6,1715,6819,0,3,2.0,1,47.3097,-122.327,0,0,7,28.0,257500
7,1060,9711,0,3,1.0,1,47.4095,-122.315,0,0,7,60.0,291850
8,1780,7470,730,3,1.0,1,47.5123,-122.337,0,0,7,63.0,229500
9,1890,6560,0,3,2.0,1,47.3684,-122.031,0,0,7,20.0,323000
10,3560,9796,1700,3,1.0,3,47.6007,-122.145,0,0,8,58.0,662500
11,1160,6000,300,2,1.0,3,47.69,-122.292,0,0,7,81.0,468000
12,1430,19901,0,3,1.5,2,47.7558,-122.229,0,0,7,96.0,310000
13,1370,9680,0,3,1.0,3,47.6127,-122.045,0,0,7,46.0,400000
14,1810,4850,0,5,1.5,2,47.67,-122.394,0,0,7,123.0,530000
15,2950,5000,970,4,2.0,2,47.5714,-122.375,0,3,9,44.0,650000
16,1890,14040,0,3,2.0,2,47.7277,-121.962,0,0,7,29.0,395000
17,1600,4300,0,4,1.5,2,47.6648,-122.343,0,0,7,107.0,485000
18,1200,9850,0,2,1.0,1,47.3089,-122.21,0,0,7,102.0,189000
19,1250,9774,0,3,1.0,1,47.3343,-122.306,0,0,7,54.0,230000
20,1620,4980,760,4,1.0,1,47.7025,-122.341,0,0,7,76.0,385000
21,3050,44867,720,3,1.0,5,47.5316,-122.233,0,4,9,55.0,2000000
22,2270,6300,0,5,2.0,1,47.3266,-122.169,0,0,8,28.0,285000
23,1070,9643,0,2,1.0,1,47.3533,-122.166,0,0,7,38.0,252700
24,2450,6500,0,3,2.0,1,47.3739,-122.172,0,0,8,38.0,329000
25,1710,4697,0,3,1.5,1,47.3048,-122.218,0,0,6,82.0,233000
26,2450,2691,700,3,2.0,4,47.6386,-122.36,0,0,8,108.0,937000
27,1400,1581,0,3,1.5,5,47.6221,-122.314,0,0,8,114.0,667000
28,1520,6380,730,3,1.0,3,47.695,-122.304,0,0,7,75.0,438000
29,2570,7173,0,4,2.0,3,47.7073,-122.11,0,0,8,18.0,719000
30,2320,3980,0,3,2.0,3,47.5391,-122.07,0,0,8,20.0,580500
31,1190,1265,0,2,3.0,1,47.7274,-122.357,0,0,7,18.0,280000
32,2330,5000,820,4,1.5,2,47.6823,-122.368,0,0,7,94.0,687500
33,1090,3000,0,3,1.5,2,47.6889,-122.375,0,0,8,94.0,535000
34,2060,6659,780,4,1.0,1,47.4276,-122.157,0,0,7,42.0,322500
35,2300,3060,790,3,1.5,3,47.6827,-122.31,0,0,8,21.0,696000
36,1660,34848,730,4,1.0,3,47.6621,-122.132,0,0,5,90.0,550000
37,2360,6000,0,4,2.0,2,47.6702,-122.362,0,0,8,119.0,640000
38,1220,8075,330,4,1.0,1,47.3341,-122.282,0,0,7,54.0,240000
39,2620,7553,0,4,2.0,2,47.5301,-122.18,0,0,8,27.0,605000
40,2570,5520,0,4,2.0,3,47.6145,-122.027,0,0,9,23.0,625000
41,4220,24186,1620,4,1.0,2,47.445,-122.347,0,0,8,39.0,775000
42,3595,5639,0,5,2.0,3,47.6848,-122.016,0,0,9,9.0,861990
43,1570,2280,0,3,2.0,4,47.6413,-122.364,0,0,7,101.0,685000
44,1280,9656,360,3,1.0,1,47.4485,-122.175,0,0,6,64.0,309000
45,3160,13603,0,3,2.0,2,47.7443,-121.977,0,0,8,20.0,488000
46,990,8528,0,3,1.0,1,47.3066,-122.371,0,0,6,57.0,210490
47,2290,13416,0,4,2.0,3,47.6194,-122.151,0,0,9,42.0,785000
48,1250,5963,0,3,1.0,3,47.6796,-122.301,0,0,7,70.0,450000
49,2753,65005,588,3,1.0,2,47.4041,-122.451,1,2,9,70.0,1350000
50,1190,9199,0,3,1.0,1,47.4258,-122.322,0,0,7,68.0,228000
51,3150,9134,1510,5,1.0,2,47.4934,-122.189,0,0,8,57.0,345000
52,1410,4080,410,3,1.0,2,47.6808,-122.384,0,0,7,73.0,600000
53,1980,8550,990,2,1.0,2,47.6989,-122.369,0,0,7,42.0,585000
54,2730,6000,600,5,1.5,4,47.6571,-122.281,0,0,8,96.0,920000
55,2830,5000,0,4,2.0,4,47.6597,-122.29,0,0,9,28.0,885000
56,2250,4495,0,4,2.0,1,47.3663,-122.114,0,0,7,15.0,292500
57,2420,4750,0,3,2.0,1,47.3663,-122.122,0,0,8,20.0,301000
58,3250,14342,0,5,2.0,3,47.588,-122.116,0,4,8,55.0,951000
59,1850,9976,0,4,2.0,2,47.5059,-122.149,0,0,8,32.0,430000
60,2150,21235,560,3,1.0,2,47.4336,-122.339,0,3,8,64.0,650000
61,1260,8400,0,3,1.0,1,47.4366,-122.335,0,0,7,69.0,289000
62,2519,8690,0,3,2.0,2,47.4428,-122.344,0,0,8,50.0,505000
63,1540,1044,0,3,3.0,3,47.6765,-122.32,0,0,8,9.0,549000
64,1660,6000,550,3,1.0,3,47.6113,-122.297,0,0,7,44.0,425000
65,2770,3809,1000,3,1.5,2,47.5747,-122.304,0,0,7,98.0,317625
66,2720,11049,0,4,2.0,5,47.5815,-122.192,0,0,10,34.0,975000
67,2240,4648,0,4,2.0,1,47.3378,-122.257,0,0,7,18.0,287000
68,1000,12070,0,3,1.0,1,47.3621,-122.11,0,0,7,55.0,204000
69,3200,20158,1600,5,1.0,5,47.6303,-122.215,0,0,8,58.0,1330000
70,4770,50094,1700,5,1.0,4,47.6525,-122.16,0,0,11,50.0,1040000
71,1260,5612,0,3,1.0,2,47.7362,-122.179,0,0,7,51.0,325000
72,2750,7807,500,4,1.5,2,47.7168,-122.287,0,0,7,107.0,571000
73,2380,5000,0,4,2.0,1,47.3608,-122.036,0,0,8,18.0,360000
74,1790,50529,700,3,1.0,1,47.3511,-122.073,0,0,7,58.0,349000
75,3430,35102,1040,4,2.0,3,47.5822,-121.987,0,0,10,37.0,832500
76,1760,7300,880,4,1.0,3,47.6034,-122.125,0,0,7,67.0,380000
77,1040,5060,0,3,1.0,3,47.5636,-122.394,0,0,7,82.0,480000
78,1410,5060,500,3,1.0,1,47.7073,-122.34,0,0,7,67.0,410000
79,3450,39683,0,4,2.0,2,47.342,-122.025,0,0,10,21.0,720000
80,2350,5100,0,3,2.0,1,47.3512,-122.008,0,0,8,20.0,390000
81,1900,5889,0,4,2.0,1,47.349,-122.031,0,0,7,31.0,360000
82,2020,6720,1010,2,1.0,2,47.5474,-122.291,0,0,7,75.0,355000
83,1680,8712,0,3,1.0,2,47.4811,-122.149,0,0,8,59.0,356000
84,960,6634,0,3,1.0,2,47.7264,-122.31,0,0,6,71.0,315000
85,2140,3600,240,3,2.0,4,47.6337,-122.365,0,0,9,98.0,940000
86,2660,8400,0,5,1.5,1,47.2909,-122.189,0,0,7,62.0,305000
87,2770,6278,790,3,2.0,2,47.5228,-122.199,0,0,9,17.0,461000
88,1610,2040,0,2,2.0,2,47.518,-122.194,0,0,7,44.0,215000
89,1030,1066,265,2,2.0,2,47.5394,-122.387,0,0,7,17.0,335000
90,1980,7403,0,4,2.0,1,47.2897,-122.372,0,0,7,35.0,243500
91,3520,6353,0,5,2.0,3,47.6506,-122.391,0,0,10,22.0,1100000
92,1200,10500,0,3,1.0,1,47.322,-122.351,0,0,7,61.0,153000
93,1580,5000,290,3,1.0,2,47.687,-122.386,0,0,8,84.0,430000
94,1580,5000,290,3,1.0,2,47.687,-122.386,0,0,8,84.0,700000
95,3300,10250,910,4,1.0,5,47.5873,-122.249,0,0,7,32.0,905000
96,1960,15681,0,3,1.0,1,47.3576,-122.277,0,0,7,56.0,247500
97,1160,6400,0,4,1.0,1,47.3036,-122.378,0,0,7,48.0,199000
98,1810,41800,600,3,1.0,1,47.4109,-121.958,0,0,7,43.0,314000
99,2320,36847,0,3,2.0,2,47.4838,-121.714,0,2,9,31.0,437500
100,2070,13241,800,3,1.5,4,47.6415,-122.315,0,0,9,113.0,850830
101,1980,3478,540,3,1.5,2,47.6775,-122.372,0,0,7,94.0,555000
102,2190,107593,0,3,2.0,3,47.7731,-122.08,0,0,8,40.0,699950
103,2920,8113,0,3,2.0,5,47.5814,-122.196,0,0,8,13.0,1090000
104,1210,33919,0,3,1.0,1,47.4375,-122.184,0,0,7,69.0,290000
105,2340,10005,880,3,1.0,1,47.4431,-122.133,0,0,8,45.0,375000
106,1670,4005,500,3,1.5,2,47.6878,-122.38,0,0,7,84.0,460000
107,1240,2493,0,2,1.0,1,47.3813,-122.322,0,0,8,38.0,188500
108,3140,28037,0,4,2.0,3,47.7304,-122.082,0,0,10,32.0,680000
109,2030,12342,0,5,2.0,3,47.6417,-122.109,0,0,7,81.0,470000
110,2310,9624,0,4,2.0,3,47.5386,-122.053,0,0,8,39.0,597750
111,1260,3328,560,3,1.0,2,47.6823,-122.349,0,0,6,118.0,570000
112,1540,12600,380,3,1.0,1,47.3624,-122.031,0,0,7,43.0,272500
113,2080,5969,1000,3,1.0,1,47.5474,-122.295,0,2,7,52.0,329950
114,3230,16171,710,4,2.0,1,47.3183,-122.253,0,3,9,22.0,480000
115,4380,6350,1600,3,2.0,2,47.6981,-122.368,0,0,8,24.0,740500
116,1590,1102,0,3,3.0,2,47.6824,-122.347,0,0,8,13.0,518500
117,880,6780,0,2,1.0,1,47.5009,-122.248,0,0,6,78.0,205425
118,1570,9600,0,4,1.0,1,47.4965,-122.303,0,0,6,73.0,171800
119,1610,2982,0,4,1.5,2,47.587,-122.294,0,0,7,98.0,535000
120,2400,6474,840,3,1.0,3,47.7728,-122.386,0,2,8,59.0,660000
121,1450,9132,0,3,1.0,2,47.7288,-122.226,0,0,7,36.0,391500
122,770,6000,0,2,1.0,2,47.6999,-122.364,0,0,6,70.0,395000
123,2100,4400,380,4,1.5,2,47.5299,-122.266,0,0,7,99.0,445000
124,2910,10204,0,3,2.0,3,47.6897,-122.098,0,0,9,33.0,770000
125,2750,17789,770,4,1.5,5,47.6141,-122.212,0,0,8,31.0,1450000
126,2100,8201,480,3,1.0,1,47.5091,-122.244,0,2,8,56.0,445000
127,2160,8811,800,4,1.0,1,47.3129,-122.39,0,0,8,45.0,260000
128,2320,4960,600,5,2.0,2,47.6763,-122.352,0,0,7,97.0,822500
129,2070,4310,0,4,2.0,2,47.5319,-121.85,0,0,7,19.0,430000
130,1060,7875,0,3,1.0,1,47.2761,-122.152,0,0,7,37.0,212000
131,2010,9603,570,4,1.0,3,47.5343,-122.054,0,0,8,37.0,660500
132,3950,111078,1490,3,1.5,3,47.697,-122.072,0,0,9,34.0,784000
133,2010,2287,620,3,2.0,3,47.5517,-121.998,0,0,8,9.0,453246
134,2140,2278,0,4,3.0,2,47.6734,-122.38,0,0,9,18.0,675000
135,1320,17390,0,3,1.0,1,47.3257,-122.296,0,0,7,67.0,199000
136,2020,7840,1010,4,1.0,1,47.3309,-122.299,0,0,7,55.0,220000
137,2590,10002,1250,4,1.0,2,47.7689,-122.266,0,0,8,55.0,452000
138,1190,4440,0,2,1.0,2,47.7135,-122.287,0,0,6,42.0,382500
139,1170,1249,0,3,3.0,2,47.6722,-122.381,0,0,8,9.0,519950
140,1110,3200,0,2,1.0,4,47.6338,-122.358,0,0,7,98.0,665000
141,2820,9375,1270,5,1.0,4,47.5707,-122.128,0,0,8,55.0,527700
142,1610,8579,600,3,1.0,1,47.4563,-122.171,0,0,7,61.0,205000
143,1060,8097,120,3,1.0,1,47.7144,-122.351,0,0,7,100.0,420000
144,2030,8517,650,4,1.0,4,47.5495,-122.174,0,0,8,62.0,500000
145,3670,315374,0,4,2.0,3,47.7421,-122.026,0,0,9,29.0,921500
146,2550,4000,180,4,2.0,4,47.6354,-122.353,0,0,8,118.0,890000
147,2420,60984,0,2,2.0,3,47.5262,-121.943,0,0,7,16.0,430000
148,2260,12500,1130,5,1.0,1,47.3887,-122.286,0,0,8,63.0,258000
149,1430,3455,450,3,1.0,2,47.6873,-122.336,0,0,7,76.0,511000
150,1360,3090,0,3,2.0,2,47.6838,-122.353,0,0,8,33.0,532170
151,1110,5000,0,3,1.5,2,47.655,-122.359,0,0,7,76.0,560000
152,1250,8200,0,3,1.0,1,47.3255,-122.304,0,0,7,69.0,282950
153,5180,19850,1640,4,2.0,4,47.562,-122.162,0,3,12,17.0,2250000
154,700,5100,0,1,1.0,3,47.679,-122.3,0,0,7,81.0,350000
155,1180,7669,0,3,1.0,1,47.4479,-122.176,0,0,7,56.0,215000
156,3960,25245,1460,5,2.0,2,47.525,-122.172,0,0,9,27.0,650000
157,2640,7500,1020,4,1.0,1,47.3135,-122.369,0,0,8,56.0,320000
158,1270,7198,0,3,1.5,1,47.2086,-121.996,0,0,7,10.0,247000
159,1760,11180,0,4,1.0,2,47.4715,-122.118,0,0,8,55.0,320000
160,2060,8632,1030,5,1.0,1,47.4877,-122.335,0,0,7,61.0,255000
